Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1 uF,C_0402_1005Metric,127.02,-150,0,top
C2,22 uF,C_0603_1608Metric,151.725,-115.5,180,top
C3,22 uF,C_0603_1608Metric,149,-114,180,top
C4,10 uF,C_0402_1005Metric,111.52,-122,0,top
C5,0.1 uF,C_0402_1005Metric,111.5,-123,0,top
C6,0.1 uF,C_0402_1005Metric,114,-125,90,top
CAM1,OV2640,AMPHENOL_F32R-1A7H1-11024,130.045406,-126.944187,135,top
J1,1S 3.7 V LiPo,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,151,-105,90,top
J2,KH-TYPE-C-16P,CONN_KH-TYPE-C_SKE,119.449738,-151.433,0,top
L1,470nH,IND_MWSA0603S_SNL,155,-120.5,180,top
LS1,Speaker,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,103,-110.3,90,top
M1,Motor_Servo,PinHeader_1x03_P2.54mm_Vertical,107.96,-102.5,90,top
M2,Motor_Servo,PinHeader_1x03_P2.54mm_Vertical,157,-126.96,0,top
MK1,ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,116.1,-125.636,180,top
Q1,AO3400A,SOT-23,132.0625,-138.05,0,top
R1,10 kΩ,R_0402_1005Metric,132.99,-143,180,top
R2,10 kΩ,R_0402_1005Metric,131.49,-144,180,top
R3,5.1 kΩ,R_0402_1005Metric,125,-150,0,top
R4,5.1 kΩ,R_0402_1005Metric,122,-150,0,top
R5,3.3 kΩ,R_0402_1005Metric,158,-114,0,top
R6,2.4 kΩ,R_0603_1608Metric,158,-108,0,top
R7,3.0 kΩ,R_0603_1608Metric,158,-110,0,top
R8,510kΩ,R_0603_1608Metric,149.5,-116.5,-90,top
R9,91kΩ,R_0603_1608Metric,146.5,-117.5,-90,top
R10,100kΩ,R_0402_1005Metric,151.49,-114,0,top
R11,1kΩ,R_0402_1005Metric,148,-117,90,top
R12,100kΩ,R_0402_1005Metric,152,-113,0,top
R13,100kΩ,R_0402_1005Metric,150,-111,0,top
R14,10 kΩ,R_0402_1005Metric,131.51,-135.5,180,top
R16,10 kΩ,R_0402_1005Metric,134,-114.49,-90,top
SW1,JS202011JAQN,SWITCH_011CQN,125,-101.7,-90,top
SW2,SPPJ320600,SPPJ320600_AAL,140.15,-104.799999,0,top
TH1,10 kΩ NTC thermistor,R_0402_1005Metric,150,-112,0,top
U1,ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1_EXP,113.14,-139.285,90,top
U2,SHT45-AD1B-R2_Temp_Hu,SHT4x_SEN,136.100001,-153.2507,90,top
U3,VEML7700-TT_SHORT,XDCR_VEML7700-TT,132,-149,180,top
U4,MLX90632SLD-DCB-000-RE_LONG,IC_MLX90632SLD-BCB-000-RE,132.000001,-156.2192,-90,top
U5,ISM330DHCXTR_GYRO,LGA-14L_STM,136.3189,-156.25,0,top
U6,SCD41-D-R2_CO2,QFN20_SCD41-D-R2_SEN,140,-146,-90,top
U7,Top Display,CONN_FH35C-15S-0.3SHW50_HIR,119.200001,-115.8705,0,top
U8,BQ24074RGTR_Batt,RGT16_1P7X1P7,154.034999,-110.249811,-90,top
U9,Front Display,CONN_FH35C-15S-0.3SHW50_HIR,112.200001,-115.8705,0,top
U10,Right Display,CONN_FH35C-15S-0.3SHW50_HIR,148.1295,-140.799999,-90,top
U12,Left Display,CONN_FH35C-15S-0.3SHW50_HIR,110.700001,-153.254499,180,top
U13,MAX98357AETE+T,21-0136I_T1633-4_MXM,111.249999,-125.7302,180,top
U14,TPS63802DLAR,DLA0010A,154.999999,-114.249999,-90,top
U15,LDLN025M25R,SOT23_DBV_TEX,141.63475,-133.649999,0,top
U16,TPS7A0212PDBVR,SOT23_DBV_TEX,137.13475,-137.950001,0,top
